,Title,US_Gross,Worldwide_Gross,Production_Budget,Distributor,Release_Year
140,The Basket,609042.0,609042.0,1300000.0,MGM,2000
142,Bill & Ted's Excellent Adventure,39916091.0,39916091.0,10000000.0,Orion Pictures,1989
144,Beetle Juice,73326666.0,73326666.0,15000000.0,Warner Bros.,1988
145,Batman Returns,162831698.0,266822354.0,80000000.0,Warner Bros.,1992
146,Batman Forever,184031112.0,336529144.0,100000000.0,Warner Bros.,1995
148,Batman,251188924.0,411348924.0,35000000.0,Warner Bros.,1989
149,Buffy the Vampire Slayer,14231669.0,14231669.0,7000000.0,20th Century Fox,1992
150,Bienvenue chez les Ch'tis,1470856.0,243470856.0,16000000.0,Link Productions Ltd.,2008
155,Caddyshack,39846344.0,39846344.0,6000000.0,Warner Bros.,1980
156,Cape Fear,79091969.0,182291969.0,35000000.0,Universal,1991
157,Clear and Present Danger,122012656.0,207500000.0,62000000.0,Paramount Pictures,1994
160,Camping Sauvage,3479302.0,3479302.0,4600000.0,Alliance,2004
161,The Cotton Club,25928721.0,25928721.0,48000000.0,Orion Pictures,1984
164,The Cable Guy,60240295.0,102825796.0,47000000.0,Sony Pictures,1996
165,Chocolate: Deep Dark Secrets,49000.0,1549000.0,1000000.0,Eros Entertainment,2005
166,Child's Play,33244684.0,44196684.0,9000000.0,United Artists,1988
167,Child's Play 2,26904572.0,34166572.0,13000000.0,Universal,1990
168,Chain Reaction,21226204.0,60209334.0,55000000.0,20th Century Fox,1996
170,Chariots of Fire,57159946.0,57159946.0,5500000.0,Sony Pictures,1981
171,A Christmas Story,19294144.0,19294144.0,3250000.0,MGM,1983
173,C.H.U.D.,4700000.0,4700000.0,1250000.0,New World,1984
175,Crooklyn,13024170.0,13024170.0,14000000.0,Universal,1994
176,Festen,1647780.0,1647780.0,1300000.0,October Films,1998
178,Cliffhanger,84049211.0,255000000.0,65000000.0,Sony Pictures,1993
180,The Client,92115211.0,117615211.0,45000000.0,Warner Bros.,1994
182,Clueless,56598476.0,56598476.0,13700000.0,Paramount Pictures,1995
183,The Color Purple,93589701.0,93589701.0,15000000.0,Warner Bros.,1985
185,Central do Brasil,5969553.0,17006158.0,2900000.0,Sony Pictures Classics,1998
186,Clash of the Titans,30000000.0,30000000.0,15000000.0,MGM,1981
187,Clockwatchers,444354.0,444354.0,2000000.0,Artistic License,1998
188,Commando,35073978.0,35073978.0,10000000.0,20th Century Fox,1985
189,The Color of Money,52293000.0,52293000.0,10000000.0,Walt Disney Pictures,1986
191,Congo,81022333.0,152022333.0,50000000.0,Paramount Pictures,1995
192,Conan the Barbarian,38264085.0,38264085.0,20000000.0,Universal,1982
193,Conan the Destroyer,26400000.0,26400000.0,18000000.0,Universal,1984
194,Class of 1984,6965361.0,6965361.0,3250000.0,United Film Distribution Co.,1982
195,The Clan of the Cave Bear,1953732.0,1953732.0,15000000.0,Warner Bros.,1986
200,Cool Runnings,68856263.0,155056263.0,14000000.0,Walt Disney Pictures,1993
203,Crocodile Dundee,174803506.0,328000000.0,5000000.0,Paramount Pictures,1986
205,Karakter,713413.0,713413.0,4500000.0,Sony Pictures Classics,1998
206,Creepshow,20036244.0,20036244.0,8000000.0,Warner Bros.,1982
207,Creepshow 2,14000000.0,14000000.0,3500000.0,New World,1987
208,The Crying Game,62546695.0,62546695.0,4000000.0,Miramax,1992
209,Crimson Tide,91387195.0,159387195.0,55000000.0,Walt Disney Pictures,1995
214,Casino,42438300.0,110400000.0,52000000.0,Universal,1995
215,Casper,100328194.0,282300000.0,55000000.0,Universal,1995
218,City Hall,20278055.0,20278055.0,40000000.0,Sony Pictures,1996
219,Cutthroat Island,10017322.0,10017322.0,92000000.0,MGM,1995
220,La femme de chambre du Titanic,244465.0,244465.0,10000000.0,MGM,1998
222,Courage Under Fire,59003384.0,100833145.0,46000000.0,20th Century Fox,1996
226,Copycat,32051917.0,32051917.0,20000000.0,Warner Bros.,1995
227,Dark Angel,4372561.0,4372561.0,7000000.0,Triumph Releasing,1990
228,"Boot, Das",11487676.0,84970337.0,12000000.0,Sony/Columbia,1982
229,Desperado,25532388.0,25532388.0,7000000.0,Sony Pictures,1995
230,Dumb & Dumber,127175374.0,246400000.0,16000000.0,New Line,1994
232,The Dark Half,9579068.0,9579068.0,15000000.0,Orion Pictures,1993
234,Dante's Peak,67163857.0,178200000.0,115000000.0,Universal,1997
235,Daylight,32908290.0,158908290.0,80000000.0,Universal,1996
236,Dick Tracy,103738726.0,162738726.0,47000000.0,Walt Disney Pictures,1990
239,The Addams Family,113502246.0,191502246.0,30000000.0,Paramount Pictures,1991
240,Death Becomes Her,58422650.0,149022650.0,55000000.0,Universal,1992
241,Def-Con 4,210904.0,210904.0,1300000.0,New World,1985
242,Dead Poets' Society,95860116.0,239500000.0,16400000.0,Walt Disney Pictures,1989
245,The Dead Zone,20766000.0,20766000.0,10000000.0,Paramount Pictures,1983
246,Die Hard 2,117323878.0,239814025.0,70000000.0,20th Century Fox,1990
247,Die Hard: With a Vengeance,100012499.0,364480746.0,90000000.0,20th Century Fox,1995
248,Dragonheart,51364680.0,104364680.0,57000000.0,Universal,1996
249,Die Hard,81350242.0,139109346.0,28000000.0,20th Century Fox,1988
250,Diner,12592907.0,12592907.0,5000000.0,MGM,1982
251,Dil Jo Bhi Kahey...,129319.0,129319.0,1600000.0,Eros Entertainment,2005
252,Don Juan DeMarco,22032635.0,22032635.0,25000000.0,New Line,1995
253,Tales from the Crypt: Demon Knight,21089146.0,21089146.0,12000000.0,Universal,1995
255,Dead Man Walking,39387284.0,83088295.0,11000000.0,Gramercy,1995
256,Dances with Wolves,184208842.0,424200000.0,19000000.0,Orion Pictures,1990
257,Dangerous Liaisons,34700000.0,34700000.0,14000000.0,Warner Bros.,1988
260,Double Impact,29090445.0,29090445.0,16000000.0,Sony Pictures,1991
261,The Doors,34167219.0,34167219.0,40000000.0,Sony Pictures,1991
262,Day of the Dead,5804262.0,34004262.0,3500000.0,United Film Distribution Co.,1985
263,Days of Thunder,82670733.0,157670733.0,60000000.0,Paramount Pictures,1990
268,The Dress,16556.0,16556.0,2650000.0,Attitude Films,1998
270,Dragonslayer,6000000.0,6000000.0,18000000.0,Paramount Pictures,1981
271,Driving Miss Daisy,106593296.0,106593296.0,7500000.0,Warner Bros.,1989
273,Do the Right Thing,26004026.0,26004026.0,6000000.0,Universal,1989
274,Dune,27447471.0,27447471.0,45000000.0,Universal,1984
275,Dolphins and Whales Tribes of the Ocean 3D,7714996.0,17252287.0,6000000.0,3D Entertainment,2008
276,Down & Out with the Dolls,58936.0,58936.0,1200000.0,Indican Pictures,2003
277,Dream With The Fishes,542909.0,542909.0,1000000.0,Sony Pictures Classics,1997
280,Evil Dead II,5923044.0,5923044.0,3500000.0,Rosebud Releasing,1987
281,Army of Darkness,11502976.0,21502976.0,11000000.0,Universal,1993
283,Edward Scissorhands,53976987.0,53976987.0,20000000.0,20th Century Fox,1990
284,Ed Wood,5828466.0,5828466.0,18000000.0,Walt Disney Pictures,1994
286,Everyone Says I Love You,9725847.0,34600000.0,20000000.0,Miramax,1996
288,Emma,22231658.0,37831658.0,5900000.0,Miramax,1996
289,Star Wars Ep. V: The Empire Strikes Back,290271960.0,534171960.0,23000000.0,20th Century Fox,1980
290,Escape from New York,25244700.0,25244700.0,6000000.0,Avco Embassy,1981
291,Escape from L.A.,25426861.0,25426861.0,50000000.0,Paramount Pictures,1996
293,Eraser,101295562.0,234400000.0,100000000.0,Warner Bros.,1996
296,ET: The Extra-Terrestrial,435110554.0,792910554.0,10500000.0,Universal,1982
299,Exotica,5046118.0,5046118.0,1500000.0,Miramax,1994
302,Fatal Attraction,156645693.0,320100000.0,14000000.0,Paramount Pictures,1987
307,From Dusk Till Dawn,25728961.0,25728961.0,20000000.0,Miramax/Dimension,1996
309,Friday the 13th Part 3,36690067.0,36690067.0,2250000.0,Paramount Pictures,1982
310,Friday the 13th Part IV: The Final Chapter,32980880.0,32980880.0,2600000.0,Paramount Pictures,1984
311,Friday the 13th Part V: A New Beginning,21930418.0,21930418.0,2200000.0,Paramount Pictures,1985
312,Friday the 13th Part VI: Jason Lives,19472057.0,19472057.0,3000000.0,Paramount Pictures,1986
313,Friday the 13th Part VII: The New Blood,19170001.0,19170001.0,2800000.0,Paramount Pictures,1988
314,Friday the 13th Part VIII: Jason Takes Manhattan,14343976.0,14343976.0,5000000.0,Paramount Pictures,1989
315,Jason Goes to Hell: The Final Friday,15935068.0,15935068.0,3000000.0,New Line,1993
320,Faithful,2104439.0,2104439.0,13000000.0,New Line,1996
321,Fair Game,11497497.0,11497497.0,50000000.0,Warner Bros.,1995
322,A Few Good Men,141340178.0,236500000.0,33000000.0,Sony Pictures,1992
323,The Fugitive,183875760.0,368900000.0,44000000.0,Warner Bros.,1993
326,Shooting Fish,302204.0,302204.0,4000000.0,Fox Searchlight,1998
328,Flashdance,90463574.0,201463574.0,7000000.0,Paramount Pictures,1983
329,Fled,17192205.0,19892205.0,30000000.0,MGM,1996
330,Flash Gordon,27107960.0,27107960.0,35000000.0,Universal,1980
331,The Flintstones,130531208.0,358500000.0,45000000.0,Universal,1994
332,Flight of the Intruder,14471440.0,14471440.0,35000000.0,Paramount Pictures,1991
333,Flatliners,61308153.0,61308153.0,26000000.0,Sony Pictures,1990
336,The Funeral,1212799.0,1412799.0,12500000.0,October Films,1996
338,Fantasia 2000 (IMAX),60507228.0,60507228.0,80000000.0,Walt Disney Pictures,2000
339,The Fog,21378361.0,21378361.0,1000000.0,Avco Embassy,1980
340,Forrest Gump,329694499.0,679400525.0,55000000.0,Paramount Pictures,1994
341,Fortress,6730578.0,46730578.0,12000000.0,Miramax,1993
344,First Blood,47212904.0,125212904.0,14000000.0,Orion Pictures,1982
345,Friday,27467564.0,27936778.0,3500000.0,New Line,1995
347,Firefox,45785720.0,45785720.0,21000000.0,Warner Bros.,1982
348,Fargo,24567751.0,51204567.0,7000000.0,Gramercy,1996
349,First Knight,37361412.0,127361412.0,75000000.0,Sony Pictures,1995
351,The Firm,158340892.0,270340892.0,42000000.0,Paramount Pictures,1993
353,Footloose,80000000.0,80000000.0,8200000.0,Paramount Pictures,1984
354,Fast Times at Ridgemont High,27092880.0,27092880.0,4500000.0,Universal,1982
356,The First Wives Club,105489203.0,181489203.0,30000000.0,Paramount Pictures,1996
357,Flirting with Disaster,14853474.0,14853474.0,7000000.0,Miramax,1996
358,For Your Eyes Only,54800000.0,195300000.0,28000000.0,MGM,1981
359,Fiza,623791.0,1179462.0,1000000.0,Video Sound,2000
361,The Ghost and the Darkness,38564422.0,38564422.0,55000000.0,Paramount Pictures,1996
367,The Godfather: Part III,66520529.0,66520529.0,54000000.0,Paramount Pictures,1990
368,Goodfellas,46743809.0,46743809.0,25000000.0,Warner Bros.,1990
373,Ghost,217631306.0,517600000.0,22000000.0,Paramount Pictures,1990
374,Ghostbusters,238632124.0,291632124.0,30000000.0,Sony Pictures,1984
375,Girl 6,4880941.0,4880941.0,12000000.0,Fox Searchlight,1996
376,Goldeneye,106429941.0,356429941.0,60000000.0,MGM,1995
377,The Glimmer Man,20404841.0,36404841.0,45000000.0,Warner Bros.,1996
378,Glory,26593580.0,26593580.0,18000000.0,Sony Pictures,1989
380,Good Morning Vietnam,123922370.0,123922370.0,13000000.0,Walt Disney Pictures,1987
381,Gandhi,52767889.0,52767889.0,22000000.0,Sony Pictures,1982
385,Get on the Bus,5691854.0,5691854.0,2400000.0,Sony Pictures,1996
386,The Golden Child,79817937.0,79817937.0,12000000.0,Paramount Pictures,1986
389,Groundhog Day,70906973.0,70906973.0,14600000.0,Sony/Columbia,1993
390,Gremlins,148168459.0,148168459.0,11000000.0,Warner Bros.,1984
391,Get Real,1152411.0,1152411.0,2000000.0,Paramount Pictures,1999
392,Gremlins 2: The New Batch,41476097.0,41476097.0,50000000.0,Warner Bros.,1990
394,The Gospel of John,4068087.0,4068087.0,11000000.0,ThinkFilm,2003
397,Get Shorty,72021008.0,115021008.0,30250000.0,MGM,1995
398,Gettysburg,10731997.0,10731997.0,25000000.0,New Line,1993
399,Guiana 1838,227241.0,227241.0,1000000.0,RBC Radio,2004
401,Happiness,2746453.0,5746453.0,3000000.0,Good Machine Releasing,1998
402,Harley Davidson and the Marlboro Man,7018525.0,7018525.0,23000000.0,MGM,1991
403,Heavy Metal,19571091.0,19571091.0,9300000.0,Sony/Columbia,1981
405,Heartbeeps,6000000.0,6000000.0,10000000.0,Universal,1981
408,Hellraiser,14564000.0,14564000.0,1000000.0,New World,1987
409,Hero,19487173.0,66787173.0,42000000.0,Sony Pictures,1992
410,Highlander III: The Sorcerer,13738574.0,13738574.0,26000000.0,Miramax,1995
411,Highlander,5900000.0,12900000.0,16000000.0,20th Century Fox,1986
414,History of the World: Part I,31672000.0,31672000.0,11000000.0,20th Century Fox,1981
416,Halloween II,25533818.0,25533818.0,2500000.0,Universal,1981
417,Halloween 3: Season of the Witch,14400000.0,14400000.0,2500000.0,Universal,1982
418,Halloween 4: The Return of Michael Myers,17768757.0,17768757.0,5000000.0,Universal,1988
419,Halloween 5: The Revenge of Michael Myers,11642254.0,11642254.0,6000000.0,Galaxy International Releasing,1989
420,Halloween:  The Curse of Michael Myers,15126948.0,15126948.0,5000000.0,Miramax,1995
422,Home Alone 2: Lost in New York,173585516.0,358994850.0,20000000.0,20th Century Fox,1992
423,Home Alone,285761243.0,476684675.0,15000000.0,20th Century Fox,1990
426,The Hotel New Hampshire,5142858.0,5142858.0,7500000.0,Orion Pictures,1984
427,Henry V,10161099.0,10161099.0,9000000.0,Goldwyn Entertainment,1989
428,Housefull,1183658.0,14883658.0,10100000.0,Eros Entertainment,2010
429,Hook,119654823.0,300854823.0,70000000.0,Sony Pictures,1991
430,House Party 2,19438638.0,19438638.0,5000000.0,New Line,1991
431,Hocus Pocus,39360491.0,39360491.0,28000000.0,Walt Disney Pictures,1993
435,Happy Gilmore,38623460.0,38623460.0,10000000.0,Universal,1996
436,The Hudsucker Proxy,2816518.0,14938149.0,40000000.0,Warner Bros.,1994
439,The Hunt for Red October,120709866.0,200500000.0,30000000.0,Paramount Pictures,1990
441,Harriet the Spy,26570048.0,26570048.0,13000000.0,Paramount Pictures,1996
442,Le hussard sur le toit,1320043.0,1320043.0,35000000.0,Miramax,1996
445,Hudson Hawk,17218916.0,17218916.0,65000000.0,Sony Pictures,1991
450,Howard the Duck,16295774.0,16295774.0,30000000.0,Universal,1986
454,The Ice Pirates,13075390.0,13075390.0,9000000.0,MGM/UA Classics,1984
455,Independence Day,306169255.0,817400878.0,75000000.0,20th Century Fox,1996
456,The Island of Dr. Moreau,27682712.0,27682712.0,40000000.0,New Line,1996
459,The Indian in the Cupboard,35627222.0,35627222.0,45000000.0,Paramount Pictures,1995
461,Illuminata,836641.0,836641.0,10000000.0,Artisan,1999
464,The Inkwell,8864699.0,8864699.0,8000000.0,Walt Disney Pictures,1994
465,Invaders from Mars,4884663.0,4984663.0,12000000.0,Cannon,1986
468,The Island,15716828.0,15716828.0,22000000.0,Universal,1980
471,Jack,58617334.0,58617334.0,45000000.0,Walt Disney Pictures,1996
472,Jade,9812870.0,9812870.0,50000000.0,Paramount Pictures,1995
473,Jingle All the Way,60592389.0,129832389.0,60000000.0,20th Century Fox,1996
475,The Jungle Book,44342956.0,44342956.0,27000000.0,Walt Disney Pictures,1994
476,Judge Dredd,34687912.0,113487912.0,85000000.0,Walt Disney Pictures,1995
477,The Jerky Boys,7555256.0,7555256.0,4000000.0,Walt Disney Pictures,1995
478,Jefferson in Paris,2461628.0,2461628.0,14000000.0,Walt Disney Pictures,1995
479,JFK,70405498.0,205400000.0,40000000.0,Warner Bros.,1991
480,Journey from the Fall,635305.0,635305.0,1300000.0,Imaginasian,2007
481,Jekyll and Hyde... Together Again,3707583.0,3707583.0,5000000.0,Universal,1982
482,Jumanji,100458310.0,262758310.0,65000000.0,Sony Pictures,1995
483,The Juror,22730924.0,22730924.0,44000000.0,Sony Pictures,1996
485,Jurassic Park,357067947.0,923067947.0,63000000.0,Universal,1993
489,Jaws 4: The Revenge,15728335.0,15728335.0,23000000.0,Universal,1987
490,Kabhi Alvida Naa Kehna,3275443.0,32575443.0,10750000.0,Yash Raj Films,2006
491,Kickboxer,14533681.0,14533681.0,1500000.0,Cannon,1989
492,Kids,7412216.0,20412216.0,1500000.0,Shining Excalibur,1995
493,Kingpin,25023424.0,32223424.0,25000000.0,MGM,1996
494,Kindergarten Cop,91457688.0,202000000.0,26000000.0,Universal,1990
497,Kiss of Death,14942422.0,14942422.0,40000000.0,20th Century Fox,1995
503,Krush Groove,11052713.0,11052713.0,3000000.0,Warner Bros.,1985
504,Krrish,1430721.0,32430721.0,10000000.0,AdLab Films,2006
505,Kansas City,1353824.0,1353824.0,19000000.0,New Line,1996
506,The Last Emperor,43984000.0,43984000.0,25000000.0,Sony/Columbia,1987
507,Last Action Hero,50016394.0,137298489.0,85000000.0,Sony Pictures,1993
509,Lage Raho Munnabhai,2217561.0,31517561.0,2700000.0,Eros Entertainment,2006
511,The Last Big Thing,22434.0,22434.0,1000000.0,Stratosphere Entertainment,1998
512,The Land Before Time,48092846.0,81972846.0,12300000.0,Universal,1988
514,The Living Daylights,51185000.0,191200000.0,40000000.0,MGM,1987
515,Aladdin,217350219.0,504050219.0,28000000.0,Walt Disney Pictures,1992
516,A Low Down Dirty Shame,29317886.0,29317886.0,10000000.0,Walt Disney Pictures,1994
517,Love and Death on Long Island,2542264.0,2542264.0,4030000.0,Lionsgate,1998
518,Ladyhawke,18400000.0,18400000.0,20000000.0,Warner Bros.,1985
519,Nikita,5017971.0,5017971.0,7000000.0,Goldwyn Entertainment,1991
521,Legal Eagles,49851591.0,49851591.0,40000000.0,Universal,1986
522,Legend,15502112.0,15502112.0,25000000.0,Universal,1986
524,Lifeforce,11603545.0,11603545.0,25000000.0,Sony/TriStar,1985
525,Lady in White,1705139.0,1705139.0,4700000.0,New Century Vista Film Company,1988
526,The Long Kiss Goodnight,33447612.0,33447612.0,65000000.0,New Line,1996
527,Lake of Fire,25317.0,25317.0,6000000.0,ThinkFilm,2007
532,Last Man Standing,18115927.0,18115927.0,67000000.0,New Line,1996
533,Aliens,85160248.0,183316455.0,17000000.0,20th Century Fox,1986
534,Alien³,54927174.0,158500000.0,55000000.0,20th Century Fox,1992
535,The Lion King,328539505.0,783839505.0,79300000.0,Walt Disney Pictures,1994
539,The Legend of the Lone Ranger,13400000.0,13400000.0,18000000.0,Universal,1981
540,The Last of the Mohicans,72455275.0,72455275.0,40000000.0,20th Century Fox,1992
542,The Long Riders,15198912.0,15198912.0,10000000.0,United Artists,1980
544,The Loss of Sexual Innocence,399793.0,399793.0,4000000.0,Sony Pictures,1999
545,Legends of the Fall,66502573.0,66502573.0,30000000.0,Sony Pictures,1994
546,A League of Their Own,107533925.0,132440066.0,40000000.0,Sony Pictures,1992
547,Loaded Weapon 1,27979399.0,27979399.0,13000000.0,New Line,1993
551,Betty Fisher et autres histoires,206400.0,206400.0,7500000.0,WellSpring,2002
553,Little Shop of Horrors,38747385.0,38747385.0,30000000.0,Warner Bros.,1986
554,Lone Star,12961389.0,12961389.0,5000000.0,Sony Pictures Classics,1996
556,Lethal Weapon,65192350.0,120192350.0,15000000.0,Warner Bros.,1987
557,Lethal Weapon 3,144731527.0,319700000.0,35000000.0,Warner Bros.,1992
558,The Last Time I Committed Suicide,12836.0,12836.0,4000000.0,Roxie Releasing,1997
559,Little Voice,4595000.0,4595000.0,6000000.0,Miramax,1998
560,The Last Temptation of Christ,8373585.0,8373585.0,7000000.0,Universal,1988
561,License to Kill,34667015.0,156167015.0,42000000.0,MGM,1989
563,Leaving Las Vegas,31983777.0,49800000.0,4000000.0,MGM,1995
564,The Lawnmower Man,32100816.0,32100816.0,10000000.0,New Line,1992
565,Lone Wolf McQuade,12232628.0,12232628.0,5000000.0,Orion Pictures,1983
566,Little Women,50003303.0,50003303.0,15000000.0,Sony Pictures,1994
568,Menace II Society,27731527.0,27731527.0,3500000.0,New Line,1993
569,Much Ado About Nothing,22549338.0,22549338.0,8000000.0,Goldwyn Entertainment,1993
573,Malcolm X,48169910.0,48169910.0,35000000.0,Warner Bros.,1992
576,Mary Reilly,5707094.0,6370115.0,47000000.0,Sony Pictures,1996
577,Maximum Risk,14102929.0,51702929.0,25000000.0,Sony Pictures,1996
579,The Mask,119920129.0,343900000.0,18000000.0,New Line,1994
580,Mars Attacks!,37771017.0,101371017.0,80000000.0,Warner Bros.,1996
581,Mo' Better Blues,16153000.0,16153000.0,10000000.0,Universal,1990
584,Michael Jordan to the MAX,18642318.0,18642318.0,7000000.0,Giant Screen Films,2000
585,Michael Collins,11092559.0,27572844.0,25000000.0,Warner Bros.,1996
586,My Cousin Vinny,52929168.0,52929168.0,11000000.0,20th Century Fox,1992
587,Medicine Man,44948240.0,44948240.0,40000000.0,Walt Disney Pictures,1992
588,Madadayo,48856.0,48856.0,11900000.0,WinStar Cinema,1998
589,Modern Problems,24474312.0,24474312.0,8000000.0,20th Century Fox,1981
590,Amadeus,51973029.0,51973029.0,18000000.0,Warner Bros.,1984
592,The Mighty Ducks,50752337.0,50752337.0,10000000.0,Walt Disney Pictures,1992
594,Megaforce,5675599.0,5675599.0,18000000.0,20th Century Fox,1982
595,The Mirror Has Two Faces,41267469.0,41267469.0,42000000.0,Sony Pictures,1996
597,Midnight Run,38413606.0,81613606.0,30000000.0,Universal,1988
598,Major League,49793054.0,49793054.0,11000000.0,Paramount Pictures,1989
601,Mad Max 2: The Road Warrior,24600832.0,24600832.0,2000000.0,Warner Bros.,1982
604,Mad Max Beyond Thunderdome,36230219.0,36230219.0,10000000.0,Warner Bros.,1985
605,The Man From Snowy River,20659423.0,20659423.0,5000000.0,20th Century Fox,1982
608,Men with Brooms,4239767.0,4239767.0,7500000.0,Artisan,2002
610,Mommie Dearest,19032000.0,25032000.0,5000000.0,Paramount Pictures,1981
612,Memoirs of an Invisible Man,14358033.0,14358033.0,40000000.0,Warner Bros.,1992
614,My Own Private Idaho,6401336.0,6401336.0,2500000.0,Fine Line,1991
616,Money Train,35324232.0,77224232.0,68000000.0,Sony Pictures,1995
619,Mallrats,2108367.0,2108367.0,6100000.0,Gramercy,1995
